\multicolumn{3}{c}{$T_1$ / K};\multicolumn{3}{c}{$p_a$ / $10^5$pa}
297.7;$\pm$;0.1; 7.5;$\pm$;0.5
298.4;$\pm$;0.1; 7.8;$\pm$;0.5
299.6;$\pm$;0.1; 8.0;$\pm$;0.5
301.3;$\pm$;0.1; 8.5;$\pm$;0.5
303.0;$\pm$;0.1; 8.8;$\pm$;0.5
305.0;$\pm$;0.1; 9.2;$\pm$;0.5
306.7;$\pm$;0.1; 9.5;$\pm$;0.5
308.5;$\pm$;0.1;10.0;$\pm$;0.5
310.3;$\pm$;0.1;10.1;$\pm$;0.5
311.9;$\pm$;0.1;10.5;$\pm$;0.5
313.4;$\pm$;0.1;10.9;$\pm$;0.5
315.0;$\pm$;0.1;11.2;$\pm$;0.5
316.5;$\pm$;0.1;11.5;$\pm$;0.5
318.1;$\pm$;0.1;12.0;$\pm$;0.5
319.6;$\pm$;0.1;12.5;$\pm$;0.5
321.0;$\pm$;0.1;12.8;$\pm$;0.5
322.3;$\pm$;0.1;13.1;$\pm$;0.5
323.6;$\pm$;0.1;13.5;$\pm$;0.5
