\multicolumn{3}{c}{$T_2$ / K};\multicolumn{3}{c}{$p_b$ / $10^5$pa}
295.5;$\pm$;0.1;2.8;$\pm$;0.2
295.0;$\pm$;0.1;2.9;$\pm$;0.2
294.0;$\pm$;0.1;3.0;$\pm$;0.2
292.3;$\pm$;0.1;3.2;$\pm$;0.2
290.5;$\pm$;0.1;3.2;$\pm$;0.2
288.8;$\pm$;0.1;3.2;$\pm$;0.2
287.2;$\pm$;0.1;3.2;$\pm$;0.2
285.5;$\pm$;0.1;3.2;$\pm$;0.2
283.7;$\pm$;0.1;3.2;$\pm$;0.2
282.3;$\pm$;0.1;3.2;$\pm$;0.2
280.8;$\pm$;0.1;3.2;$\pm$;0.2
279.3;$\pm$;0.1;3.2;$\pm$;0.2
277.9;$\pm$;0.1;3.2;$\pm$;0.2
276.4;$\pm$;0.1;3.2;$\pm$;0.2
275.3;$\pm$;0.1;3.3;$\pm$;0.2
274.6;$\pm$;0.1;3.3;$\pm$;0.2
274.0;$\pm$;0.1;3.3;$\pm$;0.2
273.5;$\pm$;0.1;3.3;$\pm$;0.2
