\multicolumn{3}{c}{$t$ / s};\multicolumn{3}{c}{$T_1$ / K};\multicolumn{3}{c}{$T_2$ / K}
  60;$\pm$;5;297.7;$\pm$;0.1;295.5;$\pm$;0.1
 120;$\pm$;5;298.4;$\pm$;0.1;295.0;$\pm$;0.1
 180;$\pm$;5;299.6;$\pm$;0.1;294.0;$\pm$;0.1
 240;$\pm$;5;301.3;$\pm$;0.1;292.3;$\pm$;0.1
 300;$\pm$;5;303.0;$\pm$;0.1;290.5;$\pm$;0.1
 360;$\pm$;5;305.0;$\pm$;0.1;288.8;$\pm$;0.1
 420;$\pm$;5;306.7;$\pm$;0.1;287.2;$\pm$;0.1
 480;$\pm$;5;308.5;$\pm$;0.1;285.5;$\pm$;0.1
 540;$\pm$;5;310.3;$\pm$;0.1;283.7;$\pm$;0.1
 600;$\pm$;5;311.9;$\pm$;0.1;282.3;$\pm$;0.1
 660;$\pm$;5;313.4;$\pm$;0.1;280.8;$\pm$;0.1
 720;$\pm$;5;315.0;$\pm$;0.1;279.3;$\pm$;0.1
 780;$\pm$;5;316.5;$\pm$;0.1;277.9;$\pm$;0.1
 840;$\pm$;5;318.1;$\pm$;0.1;276.4;$\pm$;0.1
 900;$\pm$;5;319.6;$\pm$;0.1;275.3;$\pm$;0.1
 960;$\pm$;5;321.0;$\pm$;0.1;274.6;$\pm$;0.1
1020;$\pm$;5;322.3;$\pm$;0.1;274.0;$\pm$;0.1
1080;$\pm$;5;323.6;$\pm$;0.1;273.5;$\pm$;0.1
